Nr.,Datum,Ort,Land,Deliktsart,"PMK-rechts"
148,29.10.2016,Cottbus,BB,Volksverhetzung § 130 StGB,X
149,29.10.2016,Windorf,BY,Nötigung § 240 StGB,X
150,29.10.2016,Garmisch-Partenkirchen,BY,Volksverhetzung § 130 StGB,X
151,29.10.2016,Speyer,RP,Volksverhetzung § 130 StGB,X
152,29.10.2016,Borsfleth,SH,Volksverhetzung § 130 StGB,X
153,29.10.2016,Meiningen,TH,Gefährliche Körperverletzung § 224 StGB,X
154,30.10.2016,Altdorf bei Nürnberg,BY,Sachbeschädigung § 303 StGB,X
155,30.10.2016,Anklam,MV,Gefährliche Körperverletzung § 224 StGB,X
156,30.10.2016,Drochtersen,NI,"Verwenden von Kennzeichen verfassungs-widriger Organisationen § 86a StGB",X
157,30.10.2016,Heidenau,SN,Gefährliche Körperverletzung § 224 StGB,X
158,30.10.2016,Meerane,SN,"Öffentliche Aufforderung zu Straftaten§ 111 StGB",X
159,31.10.2016,Heidelberg,BW,Volksverhetzung § 130 StGB,X
160,31.10.2016,Chemnitz,SN,Gefährliche Körperverletzung § 224 StGB,X
Nr.,Datum,Ort,Land,Deliktsart,"PMK-rechts"
161,31.10.2016,Themar,TH,Volksverhetzung § 130 StGB,X
162,01.11.2016,Pfarrkirchen,BY,Sachbeschädigung § 303 StGB,
163,01.11.2016,Ronnenberg,NI,Sachbeschädigung § 303 StGB,X
164,01.11.2016,Bautzen,SN,Bedrohung § 241 StGB,X
165,02.11.2016,Reutlingen,BW,Volksverhetzung § 130 StGB,X
166,02.11.2016,Heidelberg,BW,Volksverhetzung § 130 StGB,X
167,02.11.2016,Holzkirchen,BY,Sachbeschädigung § 303 StGB,X
168,02.11.2016,Kronshagen,SH,"Störung des öffentlichen Friedens durchAndrohung von Straftaten § 126 StGB",X
169,02.11.2016,Löbau,SN,Bedrohung § 241 StGB,X
170,02.11.2016,Herrnhut,SN,Bedrohung § 241 StGB,X
171,03.11.2016,Wittenberg,AN,"Verwenden von Kennzeichen verfassungs-widriger Organisationen § 86a StGB",X
172,03.11.2016,Karlsbad,BW,Volksverhetzung § 130 StGB,X
173,03.11.2016,Bockenem,NI,Volksverhetzung § 130 StGB,X
174,03.11.2016,Chemnitz,SN,Volksverhetzung § 130 StGB,X
175,04.11.2016,Rheinsberg,BB,Gefährliche Körperverletzung § 224 StGB,X
176,04.11.2016,Spremberg,BB,Gefährliche Körperverletzung § 224 StGB,X
177,04.11.2016,Klosterfelde,BB,Gefährliche Körperverletzung § 224 StGB,X
178,04.11.2016,Hennigsdorf bei Berlin,BB,Körperverletzung § 223 StGB,X
179,04.11.2016,Müllrose,BB,Volksverhetzung § 130 StGB,X
180,04.11.2016,"Schulzendorf bei Eichen-wade",BB,Beleidigung § 185 StGB,X
181,04.11.2016,Hamburg,HH,Volksverhetzung § 130 StGB,X
182,04.11.2016,Wesendorf,NI,Volksverhetzung § 130 StGB,X
183,04.11.2016,Kiel,SH,Sachbeschädigung § 303 StGB,X
184,04.11.2016,Limbach-Oberfrohna,SN,Nötigung § 240 StGB,X
185,04.11.2016,Hoyerswerda,SN,Volksverhetzung § 130 StGB,X
186,05.11.2016,Berlin,BR,"Gesetz über Versammlungen und Aufzüge(VersG)",
187,05.11.2016,Berlin,BR,"Gesetz über Versammlungen und Aufzüge(VersG)",X
188,05.11.2016,Zwickau,SN,Volksverhetzung § 130 StGB,X
189,06.11.2016,Schweinfurt,BY,Volksverhetzung § 130 StGB,X
190,07.11.2016,Nürnberg,BY,Sachbeschädigung § 303 StGB,X
191,07.11.2016,Eckernförde,SH,"Verwenden von Kennzeichen verfassungs-widriger Organisationen § 86a StGB",X
192,07.11.2016,Pinneberg,SH,Volksverhetzung § 130 StGB,X
193,07.11.2016,Bautzen,SN,Volksverhetzung § 130 StGB,X
Nr.,Datum,Ort,Land,Deliktsart,"PMK-rechts"
194,08.11.2016,Borken (Hessen),HE,"Widerstand gegen Vollstreckungs-beamte §113 StGB",X
195,09.11.2016,Kirchheim bei München,BY,"Verwenden von Kennzeichen verfassungs-widriger Organisationen § 86a StGB",X
196,10.11.2016,Plauen,SN,"Gesetz über Versammlungen und Aufzüge(VersG)",X
197,10.11.2016,Görlitz,SN,"Verwenden von Kennzeichen verfassungs-widriger Organisationen § 86a StGB",X
198,11.11.2016,Dortmund,NW,Beleidigung § 185 StGB,X
199,11.11.2016,Idar-Oberstein,RP,Beleidigung § 185 StGB,X
200,12.11.2016,Templin,BB,Sachbeschädigung § 303 StGB,X
201,12.11.2016,Prenzlau,BB,Sachbeschädigung § 303 StGB,X
202,12.11.2016,Heidelberg,BW,Volksverhetzung § 130 StGB,X
203,12.11.2016,Landshut,BY,Volksverhetzung § 130 StGB,X
204,12.11.2016,Münster,NW,Volksverhetzung § 130 StGB,X
205,12.11.2016,Reichenbach/Vogtland,SN,"Verwenden von Kennzeichen verfassungs-widriger Organisationen § 86a StGB",X
206,13.11.2016,Weisenheim am Berg,RP,Beleidigung § 185 StGB,X
207,14.11.2016,Roßlau/Elbe,AN,Totschlag § 212 StGB,X
208,14.11.2016,Roßlau/Elbe,AN,Gefährliche Körperverletzung § 224 StGB,X
209,14.11.2016,Roßlau/Elbe,AN,Gefährliche Körperverletzung § 224 StGB,X
210,14.11.2016,Schöneiche bei Berlin,BB,Volksverhetzung § 130 StGB,
211,14.11.2016,Calw,BW,Volksverhetzung § 130 StGB,X
212,14.11.2016,Radolfzell am Bodensee,BW,"Gemeinschädliche Sachbeschädigung§ 304 StGB",X
213,14.11.2016,Miltenberg,BY,Beleidigung § 185 StGB,X
214,14.11.2016,Cadolzburg,BY,Volksverhetzung § 130 StGB,X
215,14.11.2016,Dortmund,NW,Gefährliche Körperverletzung § 224 StGB,X
216,14.11.2016,Zwickau,SN,"Verwenden von Kennzeichen verfassungs-widriger Organisationen § 86a StGB",X
217,14.11.2016,Pirna,SN,Sachbeschädigung § 303 StGB,X
218,15.11.2016,Schwaigern,BW,Sachbeschädigung § 303 StGB,X
219,15.11.2016,Schönberg,MV,Bedrohung § 241 StGB,X
220,15.11.2016,Frankweiler,RP,Volksverhetzung § 130 StGB,X
221,16.11.2016,Lauterbach,BW,Volksverhetzung § 130 StGB,X
222,16.11.2016,Bad Kissingen,BY,Volksverhetzung § 130 StGB,X
223,17.11.2016,Dietenhofen,BY,Volksverhetzung § 130 StGB,X
224,17.11.2016,Lengede,NI,"Verwenden von Kennzeichen verfassungs-widriger Organisationen § 86a StGB",X
Nr.,Datum,Ort,Land,Deliktsart,"PMK-rechts"
225,17.11.2016,Hannoversch Münden,NI,Volksverhetzung § 130 StGB,X
226,18.11.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
227,18.11.2016,Wilhelmshaven,NI,Gefährliche Körperverletzung § 224 StGB,
228,18.11.2016,Kiel,SH,Sachbeschädigung § 303 StGB,X
229,18.11.2016,Kahla,TH,Körperverletzung § 223 StGB,X
230,19.11.2016,Berlin,BR,"Öffentliche Aufforderung zu Straftaten§ 111 StGB",X
231,19.11.2016,Bad Kleinen,MV,Bedrohung § 241 StGB,X
232,20.11.2016,Cham,BY,Volksverhetzung § 130 StGB,X
233,20.11.2016,Newel,RP,"Öffentliche Aufforderung zu Straftaten§ 111 StGB",X
234,21.11.2016,Hersbruck,BY,Volksverhetzung § 130 StGB,X
235,21.11.2016,Bad Kleinen,MV,Körperverletzung § 223 StGB,X
236,21.11.2016,Delmenhorst,NI,Beleidigung § 185 StGB,X
237,21.11.2016,Schortens,NI,Beleidigung § 185 StGB,X
238,21.11.2016,Krefeld,NW,Volksverhetzung § 130 StGB,X
239,21.11.2016,Chemnitz,SN,Volksverhetzung § 130 StGB,X
240,22.11.2016,Magdeburg,AN,Gefährliche Körperverletzung § 224 StGB,X
241,22.11.2016,Warmensteinach,BY,Volksverhetzung § 130 StGB,X
242,22.11.2016,Südbrookmerland,NI,Volksverhetzung § 130 StGB,X
243,22.11.2016,Kiel,SH,Volksverhetzung § 130 StGB,X
244,23.11.2016,Lauterbach,BW,Volksverhetzung § 130 StGB,X
245,23.11.2016,Hermsdorf,TH,Gefährliche Körperverletzung § 224 StGB,X
246,24.11.2016,Rheinsberg,BB,Bedrohung § 241 StGB,X
247,24.11.2016,Kaufering,BY,Volksverhetzung § 130 StGB,X
248,24.11.2016,Hamburg,HH,Volksverhetzung § 130 StGB,X
249,24.11.2016,Dresden,SN,"Verwenden von Kennzeichen verfassungs-widriger Organisationen § 86a StGB",X
250,25.11.2016,Perleberg,BB,Beleidigung § 185 StGB,X
251,25.11.2016,Berlin,BR,Sachbeschädigung § 303 StGB,X
252,25.11.2016,Eislingen/Fils,BW,Sachbeschädigung § 303 StGB,X
253,25.11.2016,Witten,NW,Volksverhetzung § 130 StGB,X
254,25.11.2016,Elmshorn,SH,Volksverhetzung § 130 StGB,X
255,26.11.2016,Sankt Michaelisdonn,SH,Sachbeschädigung § 303 StGB,X
256,26.11.2016,Sankt Michaelisdonn,SH,Beleidigung § 185 StGB,X
257,26.11.2016,Sankt Michaelisdonn,SH,Volksverhetzung § 130 StGB,X
258,26.11.2016,Jena,TH,Volksverhetzung § 130 StGB,X
259,27.11.2016,Dinslaken,NW,Beleidigung § 185 StGB,X
Nr.,Datum,Ort,Land,Deliktsart,"PMK-rechts"
260,28.11.2016,Cottbus,BB,Gefährliche Körperverletzung § 224 StGB,X
261,28.11.2016,Kiel,SH,Sachbeschädigung § 303 StGB,X
262,28.11.2016,Sankt Michaelisdonn,SH,Volksverhetzung § 130 StGB,X
263,29.11.2016,Rheinsberg,BB,Körperverletzung § 223 StGB,X
264,29.11.2016,Feldkirchen-Westerham,BY,Volksverhetzung § 130 StGB,X
265,29.11.2016,Sittensen,NI,Volksverhetzung § 130 StGB,X
266,29.11.2016,Kiel,SH,Nötigung § 240 StGB,X
267,30.11.2016,Weißenfels,AN,Beleidigung § 185 StGB,
268,01.12.2016,Ingolstadt,BY,"Verwenden von Kennzeichen verfassungs-widriger Organisationen § 86a StGB",X
269,01.12.2016,Chemnitz,SN,Volksverhetzung § 130 StGB,X
270,02.12.2016,Eisleben,AN,Beleidigung § 185 StGB,X
271,02.12.2016,Berlin,BR,"Verwenden von Kennzeichen verfassungs-widriger Organisationen § 86a StGB",X
272,02.12.2016,Lauterbach,BW,Volksverhetzung § 130 StGB,X
273,02.12.2016,Hamburg,HH,Sachbeschädigung § 303 StGB,X
274,02.12.2016,Leipzig,SN,Gefährliche Körperverletzung § 224 StGB,X
275,03.12.2016,Berlin,BR,Beleidigung § 185 StGB,X
276,03.12.2016,Friedrichshafen,BW,"Verunglimpfung des Andenkens Verstorbe-ner § 189 StGB",X
277,03.12.2016,Kelkheim (Taunus),HE,Volksverhetzung § 130 StGB,X
278,03.12.2016,Sternberg,MV,Körperverletzung § 223 StGB,X
279,04.12.2016,Berlin,BR,"Üble Nachrede und Verleumdung gegenPersonen des politischen Lebens § 188StGB",X
280,04.12.2016,Berlin,BR,"Üble Nachrede und Verleumdung gegenPersonen des politischen Lebens § 188StGB",X
