Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
208,20.01.2016,Apolda,TH,Volksverhetzung § 130 StGB,X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
209,21.01.2016,Berlin,BR,"Gesetz über explosionsgefährli­che Stoffe (SprengG)",X
210,21.01.2016,Schwabach,BY,Volksverhetzung § 130 StGB,X
211,21.01.2016,Röttenbach,BY,Volksverhetzung § 130 StGB,X
212,21.01.2016,Lehrte,NI,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
213,21.01.2016,Kamen,NW,Volksverhetzung § 130 StGB,X
214,21.01.2016,Leipzig,SN,"Gefährliche Körperverletzung§ 224 StGB",X
215,21.01.2016,Adorf,SN,Volksverhetzung § 130 StGB,X
216,22.01.2016,Gransee,BB,Volksverhetzung § 130 StGB,X
217,22.01.2016,Cottbus,BB,"Gefährliche Körperverletzung§ 224 StGB",X
218,22.01.2016,Berlin,BR,Beleidigung § 185 StGB,
219,22.01.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
220,22.01.2016,Munderkingen,BW,"Gefährliche Körperverletzung§ 224 StGB",X
221,22.01.2016,Breisach am Rhein,BW,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
222,22.01.2016,Weilheim in Oberbayern,BY,Volksverhetzung § 130 StGB,X
223,22.01.2016,München,BY,Beleidigung § 185 StGB,X
224,22.01.2016,Tüßling,BY,"Störung des öffentlichen Frie­dens durch Androhung vonStraftaten § 126 StGB",
225,22.01.2016,Kelkheim (Taunus),HE,Volksverhetzung § 130 StGB,X
226,22.01.2016,Düsseldorf,NW,Volksverhetzung § 130 StGB,X
227,22.01.2016,Gelsenkirchen,NW,Volksverhetzung § 130 StGB,X
228,22.01.2016,Leipzig,SN,Volksverhetzung § 130 StGB,X
229,22.01.2016,Großenhain,SN,Volksverhetzung § 130 StGB,X
230,23.01.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
231,23.01.2016,Mannheim,BW,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
232,23.01.2016,Böblingen,BW,"Gefährliche Körperverletzung§ 224 StGB",X
233,23.01.2016,Rottenburg am Neckar,BW,Volksverhetzung § 130 StGB,X
234,23.01.2016,Immenstadt im Allgäu,BY,Volksverhetzung § 130 StGB,X
235,23.01.2016,Börßum,NI,Volksverhetzung § 130 StGB,X
236,24.01.2016,Angermünde,BB,Volksverhetzung § 130 StGB,X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
237,24.01.2016,Berlin,BR,"Gemeinschädliche Sachbeschä­digung § 304 StGB",X
238,24.01.2016,Berlin,BR,Beleidigung § 185 StGB,
239,24.01.2016,Ellwangen (Jagst),BW,Beleidigung § 185 StGB,X
240,24.01.2016,Forbach,BW,Volksverhetzung § 130 StGB,X
241,24.01.2016,Hamburg,HH,"Gefährliche Körperverletzung§ 224 StGB",X
242,24.01.2016,Osterholz­Scharmbeck,NI,Bedrohung § 241 StGB,X
243,24.01.2016,Osterholz­Scharmbeck,NI,Bedrohung § 241 StGB,X
244,24.01.2016,Wilhelmshaven,NI,Volksverhetzung § 130 StGB,X
245,24.01.2016,Dortmund,NW,Volksverhetzung § 130 StGB,X
246,24.01.2016,Rheinberg,NW,Volksverhetzung § 130 StGB,X
247,24.01.2016,Saerbeck,NW,Volksverhetzung § 130 StGB,X
248,24.01.2016,Glückstadt,SH,Volksverhetzung § 130 StGB,X
249,24.01.2016,Tarp,SH,Volksverhetzung § 130 StGB,X
250,25.01.2016,Guben,BB,"Gefährliche Körperverletzung§ 224 StGB",X
251,25.01.2016,Berlin,BR,Sachbeschädigung § 303 StGB,X
252,25.01.2016,Heidelberg,BW,Bedrohung § 241 StGB,X
253,25.01.2016,Mönkeberg,SH,Sachbeschädigung § 303 StGB,X
254,25.01.2016,Bad Segeberg,SH,Volksverhetzung § 130 StGB,
255,25.01.2016,Bad Segeberg,SH,Volksverhetzung § 130 StGB,
256,25.01.2016,Bad Segeberg,SH,Volksverhetzung § 130 StGB,
257,25.01.2016,Bad Segeberg,SH,Volksverhetzung § 130 StGB,
258,25.01.2016,Bad Segeberg,SH,Volksverhetzung § 130 StGB,
259,25.01.2016,Bad Segeberg,SH,Volksverhetzung § 130 StGB,
260,25.01.2016,Dresden,SN,"Gefährliche Körperverletzung§ 224 StGB",X
261,26.01.2016,Bad Liebenwerda,BB,Volksverhetzung § 130 StGB,X
262,26.01.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
263,26.01.2016,Zorneding,BY,Volksverhetzung § 130 StGB,X
264,26.01.2016,Kist,BY,Volksverhetzung § 130 StGB,X
265,26.01.2016,Ebersberg,BY,Volksverhetzung § 130 StGB,X
266,26.01.2016,Hamburg,HH,Volksverhetzung § 130 StGB,X
267,26.01.2016,Düsseldorf,NW,"Gefährliche Körperverletzung§ 224 StGB",X
268,26.01.2016,Bredstedt,SH,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
269,26.01.2016,Waldenburg,SN,Volksverhetzung § 130 StGB,X
270,27.01.2016,Baden­Baden,BW,Volksverhetzung § 130 StGB,X
271,27.01.2016,Ellwangen (Jagst),BW,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
272,27.01.2016,Demmin,MV,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
273,27.01.2016,Mittweida,SN,Volksverhetzung § 130 StGB,X
274,27.01.2016,Trusetal,TH,Bedrohung § 241 StGB,X
275,28.01.2016,Heldenstein,BY,Volksverhetzung § 130 StGB,X
276,28.01.2016,Plattling,BY,Volksverhetzung § 130 StGB,X
277,28.01.2016,Oberschleißheim,BY,"Fälschung beweiserheblicherDaten § 269 StGB",X
278,28.01.2016,Hamburg,HH,Hausfriedensbruch § 123 StGB,X
279,28.01.2016,Aurich,NI,Volksverhetzung § 130 StGB,X
280,28.01.2016,Zweibrücken,RP,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
281,29.01.2016,Peitz,BB,Volksverhetzung § 130 StGB,X
282,29.01.2016,Cottbus,BB,"Gefährliche Körperverletzung§ 224 StGB",X
283,29.01.2016,Guben,BB,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
284,29.01.2016,Berlin,BR,Bedrohung § 241 StGB,X
285,29.01.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
286,29.01.2016,Spiegelberg,BW,Volksverhetzung § 130 StGB,X
287,29.01.2016,Bad Füssing,BY,Volksverhetzung § 130 StGB,X
288,29.01.2016,Eging am See,BY,Volksverhetzung § 130 StGB,X
289,29.01.2016,Eckental,BY,"Beschimpfung von Bekenntnis­sen, Religionsgesellschaften undWeltanschauungsvereinigungen§ 166 StGB",X
290,29.01.2016,Pentling,BY,Volksverhetzung § 130 StGB,X
291,29.01.2016,Gudensberg,HE,Volksverhetzung § 130 StGB,X
292,29.01.2016,Rödermark,HE,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
293,29.01.2016,Langenhagen,NI,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
294,29.01.2016,Buxtehude,NI,"Belohnung und Billigung vonStraftaten § 140 StGB",X
295,29.01.2016,Braunschweig,NI,Volksverhetzung § 130 StGB,X
296,29.01.2016,Aachen,NW,Beleidigung § 185 StGB,
297,29.01.2016,Kamp­Lintfort,NW,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
298,29.01.2016,Viersen,NW,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
299,29.01.2016,Bad Köstritz,TH,Bedrohung § 241 StGB,X
300,30.01.2016,Berlin,BR,Beleidigung § 185 StGB,
301,30.01.2016,Backnang,BW,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
302,30.01.2016,Fürstenfeldbruck,BY,"Verbreiten von Propagandamit­teln verfassungswidriger Organi­sationen § 86 StGB",X
303,30.01.2016,Ochsenfurt,BY,Volksverhetzung § 130 StGB,X
304,30.01.2016,Höxter,NW,Hausfriedensbruch § 123 StGB,X
305,30.01.2016,Essen,NW,"Gefährliche Körperverletzung§ 224 StGB",X
306,30.01.2016,Herten,NW,Volksverhetzung § 130 StGB,X
307,30.01.2016,Kaiserslautern,RP,Versammlungsgesetz (VersG),X
308,30.01.2016,Bautzen,SN,"Gefährliche Körperverletzung§ 224 StGB",X
309,30.01.2016,Großröhrsdorf,SN,Körperverletzung § 223 StGB,X
310,30.01.2016,Meerane,SN,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
311,30.01.2016,Schleusingen,TH,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
312,31.01.2016,Hennigsdorf bei Berlin,BB,Volksverhetzung § 130 StGB,X
313,31.01.2016,Berlin,BR,"Gefährliche Körperverletzung§ 224 StGB",X
314,31.01.2016,Berlin,BR,Körperverletzung § 223 StGB,X
315,31.01.2016,Oberstenfeld,BW,Volksverhetzung § 130 StGB,X
