Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
1001,09.04.2016,Berlin,BR,"Öffentliche Aufforderung zuStraftaten § 111 StGB",
1002,09.04.2016,"Radolfzell amBodensee",BW,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
1003,09.04.2016,Konstanz,BW,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
1004,09.04.2016,Wiesbaden,HE,Volksverhetzung § 130 StGB,X
1005,09.04.2016,Langwedel,NI,Nötigung § 240 StGB,X
1006,09.04.2016,Holzminden,NI,"Störung des öffentlichen Frie­dens durch Androhung vonStraftaten § 126 StGB",X
1007,09.04.2016,Geldern,NW,"Gefährliche Körperverletzung§ 224 StGB",X
1008,09.04.2016,Beckum,NW,Volksverhetzung § 130 StGB,X
1009,09.04.2016,Dresden,SN,"Gefährliche Körperverletzung§ 224 StGB",X
1010,10.04.2016,Steißlingen,BW,Volksverhetzung § 130 StGB,X
1011,10.04.2016,Friedland,NI,Sachbeschädigung § 303 StGB,X
1012,10.04.2016,Hannover,NI,"Gefährliche Körperverletzung§ 224 StGB",X
1013,10.04.2016,Bielefeld,NW,Volksverhetzung § 130 StGB,X
1014,10.04.2016,Rahden,NW,Sachbeschädigung § 303 StGB,X
1015,10.04.2016,Nottuln,NW,Beleidigung § 185 StGB,X
1016,10.04.2016,Limburgerhof,RP,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
1017,10.04.2016,Gotha,TH,Volksverhetzung § 130 StGB,X
1018,11.04.2016,Köthen/Anhalt,ST,Bedrohung § 241 StGB,
1019,11.04.2016,Lenzen/Elbe,BB,Volksverhetzung § 130 StGB,X
1020,11.04.2016,Berlin,BR,Sachbeschädigung § 303 StGB,X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
1021,11.04.2016,Prien am Chiemsee,BY,Sachbeschädigung § 303 StGB,X
1022,11.04.2016,Würzburg,BY,Volksverhetzung § 130 StGB,X
1023,11.04.2016,Strasburg,MV,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
1024,11.04.2016,Burgwedel,NI,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
1025,11.04.2016,Paderborn,NW,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
1026,11.04.2016,Wiehl,NW,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
1027,11.04.2016,Gotha,TH,Volksverhetzung § 130 StGB,X
1028,12.04.2016,Perleberg,BB,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
1029,12.04.2016,Freising,BY,Sachbeschädigung § 303 StGB,X
1030,12.04.2016,Hannover,NI,Volksverhetzung § 130 StGB,X
1031,12.04.2016,Braunschweig,NI,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
1032,12.04.2016,Wetter (Ruhr),NW,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
1033,12.04.2016,Köln,NW,Körperverletzung § 223 StGB,X
1034,12.04.2016,Bautzen,SN,Raub § 249 StGB,X
1035,12.04.2016,Oschatz,SN,Beleidigung § 185 StGB,X
1036,13.04.2016,Alfdorf,BW,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
1037,13.04.2016,Glatten,BW,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
1038,13.04.2016,Esslingen am Neckar,BW,Volksverhetzung § 130 StGB,X
1039,13.04.2016,Wuppertal,NW,Volksverhetzung § 130 StGB,X
1040,13.04.2016,Dresden,SN,Beleidigung § 185 StGB,X
1041,13.04.2016,Taucha,SN,Volksverhetzung § 130 StGB,X
1042,14.04.2016,Freital,SN,Bedrohung § 241 StGB,X
1043,15.04.2016,Oschersleben/Bode,ST,"Gefährliche Körperverletzung§ 224 StGB",X
1044,15.04.2016,Deggendorf,BY,Volksverhetzung § 130 StGB,X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
1045,15.04.2016,Braunschweig,NI,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
1046,15.04.2016,Rendsburg,SH,"Widerstand gegen Vollstre­ckungsbeamte § 113 StGB",X
1047,15.04.2016,Husum,SH,Beleidigung § 185 StGB,X
1048,16.04.2016,Heidelberg,BW,Volksverhetzung § 130 StGB,X
1049,16.04.2016,Selb,BY,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
1050,16.04.2016,Bobingen,BY,Volksverhetzung § 130 StGB,X
1051,17.04.2016,Neuruppin,BB,Volksverhetzung § 130 StGB,X
1052,17.04.2016,Potsdam,BB,Beleidigung § 185 StGB,X
1053,17.04.2016,Berlin,BR,"Gefährliche Körperverletzung§ 224 StGB",X
1054,17.04.2016,Berlin,BR,Sachbeschädigung § 303 StGB,
1055,17.04.2016,Berlin,BR,Beleidigung § 185 StGB,X
1056,17.04.2016,Scheßlitz,BY,Sachbeschädigung § 303 StGB,X
1057,17.04.2016,Wismar,MV,Beleidigung § 185 StGB,X
1058,17.04.2016,Ratingen,NW,Raub § 249 StGB,X
1059,18.04.2016,Elsterwerda,BB,"Gefährliche Körperverletzung§ 224 StGB",X
1060,18.04.2016,Berlin,BR,Sachbeschädigung § 303 StGB,X
1061,18.04.2016,Euerbach,BY,Volksverhetzung § 130 StGB,X
1062,18.04.2016,Baunatal,HE,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
1063,18.04.2016,Rastede,NI,Volksverhetzung § 130 StGB,X
1064,18.04.2016,Lütjenburg,SH,Volksverhetzung § 130 StGB,X
1065,18.04.2016,Lübeck,SH,Sachbeschädigung § 303 StGB,X
1066,18.04.2016,Flensburg,SH,"Gefährliche Körperverletzung§ 224 StGB",X
1067,18.04.2016,Barmstedt,SH,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
1068,18.04.2016,Flensburg,SH,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
1069,18.04.2016,Limbach­Oberfrohna,SN,Volksverhetzung § 130 StGB,X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
1070,18.04.2016,Themar,TH,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
1071,19.04.2016,Braunsbedra,ST,Bedrohung § 241 StGB,X
1072,19.04.2016,Burg bei Magdeburg,ST,"Gefährliche Körperverletzung§ 224 StGB",X
1073,19.04.2016,Quedlinburg,ST,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
1074,19.04.2016,Berlin,BR,Beleidigung § 185 StGB,X
1075,19.04.2016,Schwetzingen,BW,Volksverhetzung § 130 StGB,X
1076,19.04.2016,Bamberg,BY,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
1077,19.04.2016,Altdorf,BY,Volksverhetzung § 130 StGB,X
1078,19.04.2016,Hamburg,HH,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
1079,19.04.2016,Rostock,MV,Bedrohung § 241 StGB,X
1080,19.04.2016,Düren,NW,Volksverhetzung § 130 StGB,X
1081,19.04.2016,Übach­Palenberg,NW,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
1082,19.04.2016,Saarbrücken,SL,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
1083,20.04.2016,Berlin,BR,Sachbeschädigung § 303 StGB,X
1084,20.04.2016,Baden­Baden,BW,Bedrohung § 241 StGB,X
1085,20.04.2016,Bad Kissingen,BY,Volksverhetzung § 130 StGB,X
1086,20.04.2016,Würzburg,BY,Versammlungsgesetz (VersG),X
1087,20.04.2016,Moosburg an der Isar,BY,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
1088,20.04.2016,München,BY,Volksverhetzung § 130 StGB,X
1089,20.04.2016,Ludwigshafen am Rhein,RP,Nötigung § 240 StGB,X
1090,20.04.2016,Wilster,SH,Beleidigung § 185 StGB,X
1091,21.04.2016,Bad Freienwalde,BB,Volksverhetzung § 130 StGB,X
1092,21.04.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
1093,21.04.2016,Wolnzach,BY,Sachbeschädigung § 303 StGB,X
1094,21.04.2016,Neu­Isenburg,HE,Volksverhetzung § 130 StGB,X
1095,21.04.2016,Winsen (Luhe),NI,Bedrohung § 241 StGB,
1096,21.04.2016,Wolfsburg,NI,"Gefährliche Körperverletzung§ 224 StGB",X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
1097,21.04.2016,Möhnesee,NW,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
1098,21.04.2016,Wachtendonk,NW,Volksverhetzung § 130 StGB,X
1099,21.04.2016,Recklinghausen,NW,Volksverhetzung § 130 StGB,X
1100,21.04.2016,Kiel,SH,Volksverhetzung § 130 StGB,X
1101,22.04.2016,Eisenhüttenstadt,BB,"Störung des öffentlichen Frie­dens durch Androhung vonStraftaten § 126 StGB",X
1102,22.04.2016,Gottmadingen,BW,Volksverhetzung § 130 StGB,X
1103,22.04.2016,Arnstorf,BY,Volksverhetzung § 130 StGB,X
1104,22.04.2016,Regensburg,BY,Volksverhetzung § 130 StGB,X
1105,22.04.2016,Weener,NI,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
1106,22.04.2016,Kalletal,NW,Volksverhetzung § 130 StGB,X
1107,22.04.2016,Düsseldorf,NW,Volksverhetzung § 130 StGB,X
1108,22.04.2016,Görlitz,SN,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
1109,22.04.2016,Freital,SN,Sachbeschädigung § 303 StGB,
1110,22.04.2016,Dahlen,SN,Bedrohung § 241 StGB,X
1111,22.04.2016,Leipzig,SN,Volksverhetzung § 130 StGB,X
1112,23.04.2016,Ludwigsburg,BW,"Gefährliche Körperverletzung§ 224 StGB",X
1113,23.04.2016,Wismar,MV,"Gefährliche Körperverletzung§ 224 StGB",X
1114,23.04.2016,Rinteln,NI,Bedrohung § 241 StGB,X
1115,23.04.2016,Trier,RP,"Gefährliche Körperverletzung§ 224 StGB",X
1116,23.04.2016,Seck,RP,Volksverhetzung § 130 StGB,X
1117,24.04.2016,Rathenow,BB,Volksverhetzung § 130 StGB,X
1118,24.04.2016,Konstanz,BW,"Öffentliche Aufforderung zuStraftaten § 111 StGB",
1119,24.04.2016,Eichstätt,BY,Bedrohung § 241 StGB,X
1120,24.04.2016,Frankfurt am Main,HE,Volksverhetzung § 130 StGB,X
1121,24.04.2016,Fulda,HE,Volksverhetzung § 130 StGB,X
1122,24.04.2016,Braunschweig,NI,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
1123,24.04.2016,Emsbüren,NI,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
1124,24.04.2016,Eisenach,TH,Sachbeschädigung § 303 StGB,X
1125,25.04.2016,Köthen/Anhalt,ST,Körperverletzung § 223 StGB,X
1126,25.04.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
1127,25.04.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
1128,25.04.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
1129,25.04.2016,Ostfildern,BW,Volksverhetzung § 130 StGB,X
1130,25.04.2016,Eggenfelden,BY,Sachbeschädigung § 303 StGB,X
1131,25.04.2016,Saalfeld/Saale,TH,Beleidigung § 185 StGB,X
1132,26.04.2016,Brandenburg/Havel,BB,Bedrohung § 241 StGB,X
1133,26.04.2016,Schlotheim,TH,Volksverhetzung § 130 StGB,X
1134,27.04.2016,Köthen/Anhalt,ST,Bedrohung § 241 StGB,
1135,27.04.2016,Berlin,BR,Beleidigung § 185 StGB,X
1136,27.04.2016,Wismar,MV,Körperverletzung § 223 StGB,X
1137,27.04.2016,Westoverledingen,NI,Volksverhetzung § 130 StGB,X
1138,27.04.2016,Westoverledingen,NI,Volksverhetzung § 130 StGB,X
1139,27.04.2016,Hannoversch Münden,NI,Volksverhetzung § 130 StGB,X
1140,27.04.2016,Speyer,RP,Volksverhetzung § 130 StGB,X
1141,28.04.2016,Oderberg,BB,Volksverhetzung § 130 StGB,X
1142,28.04.2016,Pretzfeld,BY,Volksverhetzung § 130 StGB,X
1143,28.04.2016,Hamm,NW,Volksverhetzung § 130 StGB,X
1144,28.04.2016,Bad Hönningen,RP,Volksverhetzung § 130 StGB,X
1145,29.04.2016,Weißenfels,ST,Volksverhetzung § 130 StGB,X
1146,29.04.2016,Wittenberg,ST,Schwerer Raub § 250 StGB,X
1147,29.04.2016,Rinchnach,BY,Volksverhetzung § 130 StGB,X
1148,29.04.2016,Deggendorf,BY,Volksverhetzung § 130 StGB,X
1149,29.04.2016,Rinchnach,BY,Volksverhetzung § 130 StGB,X
1150,29.04.2016,Haiger,HE,Volksverhetzung § 130 StGB,X
1151,29.04.2016,Coppenbrügge,NI,Volksverhetzung § 130 StGB,X
1152,29.04.2016,Dortmund,NW,Raub § 249 StGB,X
1153,29.04.2016,Dresden,SN,Volksverhetzung § 130 StGB,X
1154,29.04.2016,Weischlitz,SN,Brandstiftung § 306 StGB,X
1155,30.04.2016,Braunsbedra,ST,Bedrohung § 241 StGB,X
1156,30.04.2016,Dessau,ST,"Gefährliche Körperverletzung§ 224 StGB",X
1157,30.04.2016,Bad Kleinen,MV,Bedrohung § 241 StGB,X
1158,30.04.2016,Hannover,NI,Bedrohung § 241 StGB,X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
1159,01.05.2016,Lübbenau/Spreewald,BB,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
1160,01.05.2016,Frankfurt/Oder,BB,"Gefährliche Körperverletzung§ 224 StGB",X
1161,01.05.2016,Fronreute,BW,Sachbeschädigung § 303 StGB,X
1162,01.05.2016,Holzheim,BY,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
1163,01.05.2016,München,BY,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
1164,01.05.2016,Hamburg,HH,Beleidigung § 185 StGB,X
1165,01.05.2016,Bochum,NW,Volksverhetzung § 130 StGB,X
1166,01.05.2016,Dortmund,NW,Sachbeschädigung § 303 StGB,X
1167,01.05.2016,Weisenheim am Sand,RP,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
1168,02.05.2016,Neuhof,HE,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
1169,02.05.2016,Hagenow,MV,"Gefährliche Körperverletzung§ 224 StGB",X
1170,02.05.2016,Klütz,MV,Bedrohung § 241 StGB,X
1171,02.05.2016,Oberhausen,NW,Volksverhetzung § 130 StGB,X
1172,02.05.2016,Köln,NW,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
1173,02.05.2016,Leipzig,SN,Volksverhetzung § 130 StGB,X
1174,03.05.2016,Mühldorf am Inn,BY,Volksverhetzung § 130 StGB,X
1175,03.05.2016,Dortmund,NW,Volksverhetzung § 130 StGB,X
1176,03.05.2016,Hanhofen,RP,Volksverhetzung § 130 StGB,X
1177,03.05.2016,Kiel,SH,Sachbeschädigung § 303 StGB,X
1178,03.05.2016,Zwickau,SN,Sachbeschädigung § 303 StGB,X
1179,03.05.2016,Leipzig,SN,"Gefährliche Körperverletzung§ 224 StGB",X
1180,03.05.2016,Nordhausen,TH,Volksverhetzung § 130 StGB,X
1181,04.05.2016,Nienburg/Saale,ST,"Gefährliche Körperverletzung§ 224 StGB",X
1182,04.05.2016,Schwedt/Oder,BB,Volksverhetzung § 130 StGB,X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
1183,04.05.2016,Schwedt/Oder,BB,Beleidigung § 185 StGB,X
1184,04.05.2016,Windeck,NW,Volksverhetzung § 130 StGB,X
1185,04.05.2016,Malente,SH,Körperverletzung § 223 StGB,X
1186,05.05.2016,Weißenfels,ST,"Gefährliche Körperverletzung§ 224 StGB",X
1187,05.05.2016,Wittstock,BB,"Gefährliche Körperverletzung§ 224 StGB",X
1188,05.05.2016,Premnitz,BB,"Besonders schwerer Fall desLandfriedensbruchs § 125a StGB",X
1189,05.05.2016,Strasburg,MV,"Gefährliche Körperverletzung§ 224 StGB",X
1190,05.05.2016,Rostock,MV,"Gefährliche Körperverletzung§ 224 StGB",X
1191,05.05.2016,Zwickau,SN,Bedrohung § 241 StGB,X
1192,05.05.2016,Dresden,SN,"Gefährliche Körperverletzung§ 224 StGB",X
1193,05.05.2016,Delitzsch,SN,"Gefährliche Körperverletzung§ 224 StGB",X
1194,05.05.2016,Auerbach/Vogtland,SN,Volksverhetzung § 130 StGB,X
1195,05.05.2016,Eisenach,TH,Bedrohung § 241 StGB,X
1196,06.05.2016,Cottbus,BB,Körperverletzung § 223 StGB,X
1197,06.05.2016,Hamburg,HH,Beleidigung § 185 StGB,X
1198,06.05.2016,Greifswald,MV,Beleidigung § 185 StGB,X
1199,06.05.2016,Hückeswagen,NW,Volksverhetzung § 130 StGB,X
1200,07.05.2016,Wittenberg,ST,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
1201,07.05.2016,Wittenberg,ST,Körperverletzung § 223 StGB,X
1202,07.05.2016,Strausberg,BB,Volksverhetzung § 130 StGB,X
1203,07.05.2016,Berlin,BR,"Gefährliche Körperverletzung§ 224 StGB",X
1204,07.05.2016,Berlin,BR,Beleidigung § 185 StGB,X
1205,07.05.2016,Passau,BY,Körperverletzung § 223 StGB,X
1206,07.05.2016,Griesheim,HE,Volksverhetzung § 130 StGB,
1207,07.05.2016,Trappenkamp,SH,Volksverhetzung § 130 StGB,X
1208,07.05.2016,Wöhrden,SH,Volksverhetzung § 130 StGB,X
1209,08.05.2016,Guben,BB,Volksverhetzung § 130 StGB,X
1210,08.05.2016,Baunach,BY,Volksverhetzung § 130 StGB,X
1211,08.05.2016,Minden,NW,Diebstahl § 242 StGB,X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
1212,08.05.2016,Eitorf,NW,Sachbeschädigung § 303 StGB,X
1213,08.05.2016,Lübeck,SH,"Gefährliche Körperverletzung§ 224 StGB",X
1214,09.05.2016,Frankfurt/Oder,BB,Körperverletzung § 223 StGB,X
1215,09.05.2016,Oranienburg,BB,Volksverhetzung § 130 StGB,X
1216,09.05.2016,Berlin,BR,"Störung des öffentlichen Frie­dens durch Androhung vonStraftaten § 126 StGB",X
1217,09.05.2016,Freilassing,BY,Volksverhetzung § 130 StGB,X
1218,09.05.2016,Bielefeld,NW,Volksverhetzung § 130 StGB,X
1219,09.05.2016,Uetersen,SH,Beleidigung § 185 StGB,X
1220,09.05.2016,Burg auf Fehmarn,SH,Volksverhetzung § 130 StGB,X
1221,09.05.2016,Limbach­Oberfrohna,SN,"Gefährliche Körperverletzung§ 224 StGB",X
1222,10.05.2016,Premnitz,BB,Bedrohung § 241 StGB,X
1223,10.05.2016,Kyritz,BB,Volksverhetzung § 130 StGB,X
1224,10.05.2016,Falkensee,BB,Sachbeschädigung § 303 StGB,X
1225,10.05.2016,Kempten (Allgäu),BY,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
1226,10.05.2016,Dömitz,MV,Volksverhetzung § 130 StGB,X
1227,10.05.2016,Dormagen,NW,Sachbeschädigung § 303 StGB,X
1228,10.05.2016,Bad Breisig,RP,Volksverhetzung § 130 StGB,
1229,10.05.2016,Lübeck,SH,Sachbeschädigung § 303 StGB,X
1230,11.05.2016,Naumburg/Saale,ST,Beleidigung § 185 StGB,X
1231,11.05.2016,Cottbus,BB,Sachbeschädigung § 303 StGB,X
1232,11.05.2016,Frankfurt/Oder,BB,"Gefährliche Körperverletzung§ 224 StGB",X
1233,11.05.2016,Simbach am Inn,BY,Volksverhetzung § 130 StGB,X
1234,11.05.2016,Darmstadt,HE,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
1235,11.05.2016,Bielefeld,NW,Beleidigung § 185 StGB,X
1236,11.05.2016,Rodewisch,SN,Volksverhetzung § 130 StGB,X
1237,12.05.2016,Tübingen,BW,Volksverhetzung § 130 StGB,X
1238,12.05.2016,Bochum,NW,Volksverhetzung § 130 StGB,X
1239,12.05.2016,Bottrop,NW,Körperverletzung § 223 StGB,X
1240,12.05.2016,Bad Bergzabern,RP,Beleidigung § 185 StGB,X
1241,12.05.2016,Wedel (Holstein),SH,Beleidigung § 185 StGB,X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
1242,12.05.2016,Freiberg,SN,Beleidigung § 185 StGB,X
1243,12.05.2016,Römhild,TH,Sachbeschädigung § 303 StGB,X
1244,13.05.2016,Fürstenwalde/Spree,BB,Beleidigung § 185 StGB,X
1245,13.05.2016,München,BY,Volksverhetzung § 130 StGB,X
1246,13.05.2016,Hamburg,HH,Beleidigung § 185 StGB,X
1247,13.05.2016,Hamburg,HH,"Gefährliche Körperverletzung§ 224 StGB",X
1248,13.05.2016,Hennef (Sieg),NW,Sachbeschädigung § 303 StGB,X
1249,13.05.2016,Dresden,SN,Beleidigung § 185 StGB,X
1250,14.05.2016,Cottbus,BB,"Gefährliche Körperverletzung§ 224 StGB",X
1251,14.05.2016,Seesen,NI,Körperverletzung § 223 StGB,X
1252,14.05.2016,Seesen,NI,Körperverletzung § 223 StGB,X
1253,14.05.2016,Seesen,NI,Körperverletzung § 223 StGB,X
1254,14.05.2016,Borna,SN,Körperverletzung § 223 StGB,X
1255,15.05.2016,Rheinsberg,BB,Körperverletzung § 223 StGB,X
1256,15.05.2016,Rheinsberg,BB,Körperverletzung § 223 StGB,X
1257,15.05.2016,Stuttgart,BW,Volksverhetzung § 130 StGB,X
1258,15.05.2016,Dietenhofen,BY,Volksverhetzung § 130 StGB,X
1259,15.05.2016,"Heppenheim (Berg­straße)",HE,Volksverhetzung § 130 StGB,X
1260,15.05.2016,Bockenem,NI,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
1261,15.05.2016,Paderborn,NW,Volksverhetzung § 130 StGB,X
1262,15.05.2016,Emmerich,NW,Volksverhetzung § 130 StGB,X
1263,15.05.2016,Meißen,SN,Bedrohung § 241 StGB,X
1264,16.05.2016,Landshut,BY,Volksverhetzung § 130 StGB,X
1265,16.05.2016,Landsberg am Lech,BY,Volksverhetzung § 130 StGB,X
1266,16.05.2016,München,BY,Volksverhetzung § 130 StGB,X
1267,16.05.2016,Belm,NI,Volksverhetzung § 130 StGB,X
1268,16.05.2016,Lütjenburg,SH,"Gefährliche Körperverletzung§ 224 StGB",X
1269,16.05.2016,Eisenberg,TH,Sachbeschädigung § 303 StGB,X
1270,17.05.2016,Köthen/Anhalt,ST,"Gefährliche Körperverletzung§ 224 StGB",X
1271,17.05.2016,Stuttgart,BW,Volksverhetzung § 130 StGB,X
1272,17.05.2016,Bad Buchau,BW,Volksverhetzung § 130 StGB,X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
1273,17.05.2016,Füssen,BY,"Störung des öffentlichen Frie­dens durch Androhung vonStraftaten § 126 StGB",X
1274,17.05.2016,Flieden,HE,Volksverhetzung § 130 StGB,X
1275,17.05.2016,Flintbek,SH,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
1276,17.05.2016,Pirna,SN,Bedrohung § 241 StGB,X
1277,18.05.2016,Rangsdorf,BB,"Gefährliche Körperverletzung§ 224 StGB",X
1278,18.05.2016,Bad Brückenau,BY,Volksverhetzung § 130 StGB,X
1279,18.05.2016,Borken (Hessen),HE,Sachbeschädigung § 303 StGB,X
1280,18.05.2016,Werlte,NI,Volksverhetzung § 130 StGB,
1281,18.05.2016,Krefeld,NW,Volksverhetzung § 130 StGB,X
1282,18.05.2016,Weißwasser,SN,Volksverhetzung § 130 StGB,X
1283,19.05.2016,Guben,BB,"Gefährliche Körperverletzung§ 224 StGB",X
1284,19.05.2016,Stuttgart,BW,Volksverhetzung § 130 StGB,X
1285,19.05.2016,Denkendorf,BW,"Störung des öffentlichen Frie­dens durch Androhung vonStraftaten § 126 StGB",X
1286,19.05.2016,Hollenstedt,NI,Beleidigung § 185 StGB,X
1287,19.05.2016,"Dissen am TeutoburgerWald",NI,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
1288,19.05.2016,Bergheim,NW,Volksverhetzung § 130 StGB,X
1289,19.05.2016,Mayen,RP,Körperverletzung § 223 StGB,X
1290,19.05.2016,Pinneberg,SH,"Gefährliche Eingriffe in denStraßenverkehr § 315b StGB",X
1291,20.05.2016,Cottbus,BB,Volksverhetzung § 130 StGB,X
1292,20.05.2016,Berlin,BR,Brandstiftung § 306 StGB,X
1293,20.05.2016,Baden­Baden,BW,Volksverhetzung § 130 StGB,X
1294,20.05.2016,München,BY,"Gefährliche Körperverletzung§ 224 StGB",X
1295,20.05.2016,Cuxhaven,NI,Volksverhetzung § 130 StGB,X
1296,20.05.2016,Heiligenhaus,NW,Körperverletzung § 223 StGB,X
1297,21.05.2016,Schönebeck/Elbe,ST,Beleidigung § 185 StGB,X
1298,21.05.2016,Bismark/Altmark,ST,Beleidigung § 185 StGB,X
1299,21.05.2016,Bismark/Altmark,ST,Beleidigung § 185 StGB,X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
1300,21.05.2016,Bismark/Altmark,ST,"Gefährliche Körperverletzung§ 224 StGB",X
1301,21.05.2016,Premnitz,BB,"Gefährliche Körperverletzung§ 224 StGB",X
1302,21.05.2016,Wittstock,BB,Beleidigung § 185 StGB,X
1303,21.05.2016,Cottbus,BB,Volksverhetzung § 130 StGB,
1304,21.05.2016,Salzgitter,NI,Volksverhetzung § 130 StGB,X
1305,21.05.2016,Langwedel,NI,Sachbeschädigung § 303 StGB,X
1306,21.05.2016,Dortmund,NW,Freiheitsberaubung § 239 StGB,X
1307,21.05.2016,Hagen,NW,Volksverhetzung § 130 StGB,X
1308,21.05.2016,Mönkeberg,SH,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
1309,21.05.2016,Leipzig,SN,Beleidigung § 185 StGB,X
1310,21.05.2016,Rudolstadt,TH,Volksverhetzung § 130 StGB,X
1311,21.05.2016,Jena,TH,Körperverletzung § 223 StGB,X
1312,22.05.2016,Cottbus,BB,Volksverhetzung § 130 StGB,X
1313,22.05.2016,Annaberg­Buchholz,SN,Körperverletzung § 223 StGB,X
1314,22.05.2016,Jena,TH,Körperverletzung § 223 StGB,X
1315,23.05.2016,Frankfurt/Oder,BB,"Gefährliche Körperverletzung§ 224 StGB",X
1316,23.05.2016,Berlin,BR,Brandstiftung § 306 StGB,X
1317,23.05.2016,Stuttgart,BW,Volksverhetzung § 130 StGB,X
1318,23.05.2016,Stuttgart,BW,Volksverhetzung § 130 StGB,X
1319,23.05.2016,Steinheim am Albuch,BW,Volksverhetzung § 130 StGB,X
1320,23.05.2016,Kämpfelbach,BW,Volksverhetzung § 130 StGB,X
1321,23.05.2016,Ludwigshafen am Rhein,RP,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
1322,24.05.2016,Cottbus,BB,"Gefährliche Körperverletzung§ 224 StGB",X
1323,24.05.2016,Lauterecken,RP,Volksverhetzung § 130 StGB,X
1324,25.05.2016,Berlin,BR,Beleidigung § 185 StGB,
1325,25.05.2016,Dillingen an der Donau,BY,Raub § 249 StGB,X
1326,25.05.2016,Südbrookmerland,NI,Brandstiftung § 306 StGB,X
1327,25.05.2016,Dormagen,NW,Volksverhetzung § 130 StGB,X
1328,25.05.2016,Holtsee,SH,Körperverletzung § 223 StGB,X
1329,25.05.2016,Großröhrsdorf,SN,Volksverhetzung § 130 StGB,X
1330,25.05.2016,Wutha­Farnroda,TH,Beleidigung § 185 StGB,X
