key;name;kreis_type;year;crime;crime_noasyl;total_solved;noasyl_solved;hom;arson
08236;Enzkreis;LK;2016;5956;5941;55,2;55,1;4;21
08237;Freudenstadt;LK;2016;4383;4362;64,9;64,7;2;17
08311;Freiburg im Breisgau;SK;2016;28854;27312;59;56,8;12;43
08315;Breisgau-Hochschwarzwald;LK;2016;13110;12655;56,1;54,5;0;45
08316;Emmendingen;LK;2016;6732;6693;58,3;58;5;27
08317;Ortenaukreis;LK;2016;26603;24030;62,8;58,8;6;123
08325;Rottweil;LK;2016;4563;4551;63,2;63,1;4;17
08326;Schwarzwald-Baar-Kreis;LK;2016;9037;8938;62;61,6;8;32
08327;Tuttlingen;LK;2016;6219;6179;63,7;63,5;6;24
08335;Konstanz;LK;2016;18699;16839;63,7;59,7;6;45
08336;Lörrach;LK;2016;21981;16932;69,2;60,1;7;31
08337;Waldshut;LK;2016;7304;7159;65,6;65;9;34
08415;Reutlingen;LK;2016;13017;12866;61,7;61,2;6;46
08416;Tübingen;LK;2016;9427;9390;55,8;55,7;5;43
08417;Zollernalbkreis;LK;2016;6763;6733;64,1;64;6;27
08421;Ulm;SK;2016;10923;10722;62;61,3;5;23
08425;Alb-Donau-Kreis;LK;2016;5581;5531;60,5;60,2;9;21
08426;Biberach;LK;2016;7089;7065;59,9;59,8;5;21
08435;Bodenseekreis;LK;2016;9349;9249;61;60,6;9;39
08436;Ravensburg;LK;2016;13843;13155;63,5;61,6;6;61
08437;Sigmaringen;LK;2016;5829;5811;64,2;64,1;7;25
09161;Ingolstadt;KfS;2016;10948;10795;64,2;63,7;7;25
09162;München;KfS;2016;114710;97121;68,3;62,5;40;131
09163;Rosenheim;KfS;2016;5864;5606;68,2;66,8;5;13
09171;Altötting;LK;2016;5367;4528;67,6;62,1;1;15
09172;Berchtesgadener Land;LK;2016;108046;4847;43,5;69,9;7;19
09173;Bad Tölz-Wolfratshausen;LK;2016;4218;4202;63,8;63,7;1;22
09174;Dachau;LK;2016;5359;5027;62,4;60;8;9
09175;Ebersberg;LK;2016;4644;4621;60,4;60,2;1;15
09176;Eichstätt;LK;2016;3400;3385;65,4;65,3;7;9
09177;Erding;LK;2016;5691;5560;65,2;64,4;2;20
09178;Freising;LK;2016;10416;7593;72,6;62,6;3;17
09179;Fürstenfeldbruck;LK;2016;8325;8264;59,6;59,3;10;23
09180;Garmisch-Partenkirchen;LK;2016;4720;3387;72,8;62,2;4;11
09181;Landsberg am Lech;LK;2016;4052;3987;64,1;63,5;5;9
09182;Miesbach;LK;2016;4306;4219;63,4;62,6;5;9
09183;Mühldorf a.Inn;LK;2016;4261;4191;67,4;67;4;15
09184;München;LK;2016;13246;13094;55,3;54,8;3;35
09185;Neuburg-Schrobenhausen;LK;2016;3661;3622;72,4;72,1;2;14
09186;Pfaffenhofen a.d.Ilm;LK;2016;4697;4675;65;64,9;2;16
09187;Rosenheim;LK;2016;64787;10152;68,2;70,8;8;35
09188;Starnberg;LK;2016;4910;4882;59,8;59,5;2;23
09189;Traunstein;LK;2016;6974;6637;65,6;63,9;7;26
09190;Weilheim-Schongau;LK;2016;4811;4777;66;65,7;2;16
09261;Landshut;KfS;2016;6448;6352;67,1;66,6;2;17
09262;Passau;KfS;2016;12905;4784;85,8;63,7;7;5
09263;Straubing;KfS;2016;3831;3810;64,8;64,6;2;7
09271;Deggendorf;LK;2016;9927;5428;82,9;68,7;3;26
09272;Freyung-Grafenau;LK;2016;2196;2039;77,8;76,3;2;7
09273;Kelheim;LK;2016;3765;3745;67;66,8;3;22
09274;Landshut;LK;2016;4562;4540;64,9;64,7;5;21
09275;Passau;LK;2016;19469;5401;91;69,3;4;17
09276;Regen;LK;2016;2367;2336;76,7;76,4;2;11
09277;Rottal-Inn;LK;2016;36356;3940;96,8;71,3;3;13
09278;Straubing-Bogen;LK;2016;2702;2655;68;67,4;1;6
09279;Dingolfing-Landau;LK;2016;3030;2979;65,8;65,2;0;13
09361;Amberg;KfS;2016;2899;2837;68,5;67,8;1;8
09362;Regensburg;KfS;2016;17954;12916;70,9;59,5;6;16
09363;Weiden i.d.OPf.;KfS;2016;3544;3283;71,9;69,7;1;7
09371;Amberg-Sulzbach;LK;2016;2820;2800;66,5;66,3;2;13
09372;Cham;LK;2016;4093;3715;73,3;70,6;2;18
09373;Neumarkt i.d.OPf.;LK;2016;3610;3594;66,7;66,5;1;15
09374;Neustadt a.d.Waldnaab;LK;2016;3998;3198;77,2;72;3;21
09375;Regensburg;LK;2016;4610;4590;66,6;66,5;3;15
09376;Schwandorf;LK;2016;5545;5516;66,4;66,2;2;20
09377;Tirschenreuth;LK;2016;2910;2821;74,3;73,5;0;21
09461;Bamberg;KfS;2016;6791;6680;65,5;65;4;9
09462;Bayreuth;KfS;2016;7864;5788;76,5;68;10;17
09463;Coburg;KfS;2016;3571;3296;71,4;69;4;8
09464;Hof;KfS;2016;3711;3530;74,3;73;4;5
09471;Bamberg;LK;2016;3722;3664;72,2;71,8;10;10
09472;Bayreuth;LK;2016;3107;2913;73,1;71,3;3;6
09473;Coburg;LK;2016;3295;3031;70,9;68,4;11;6
09474;Forchheim;LK;2016;3515;3500;72,1;71,9;4;13
09475;Hof;LK;2016;4597;3949;79,6;76,3;3;15
09476;Kronach;LK;2016;2560;2288;77,3;74,6;11;8
09477;Kulmbach;LK;2016;3819;3139;81,1;77;4;8
09478;Lichtenfels;LK;2016;3103;3081;74,1;73,9;5;25
09479;Wunsiedel i.Fichtelgebirge;LK;2016;3878;3654;74,8;73,3;4;9
09561;Ansbach;KfS;2016;3294;3267;74,1;73,9;5;6
09562;Erlangen;KfS;2016;6212;6161;62,2;61,9;2;6
09563;Fürth;KfS;2016;5985;5950;65,9;65,7;5;11
09564;Nürnberg;KfS;2016;46694;45992;64,2;63,6;35;44
09565;Schwabach;KfS;2016;1694;1682;66;65,8;0;2
09571;Ansbach;LK;2016;6099;6063;63,8;63,6;6;19
09572;Erlangen-Höchstadt;LK;2016;3992;3967;64,4;64,1;1;11
09573;Fürth;LK;2016;5041;2666;80,9;64;3;7
09574;Nürnberger Land;LK;2016;6145;6089;64;63,7;6;20
09575;Neustadt a.d.Aisch-Bad Windsheim;LK;2016;3010;3006;62,7;62,6;7;9
09576;Roth;LK;2016;3749;3714;58,7;58,3;4;17
09577;Weißenburg-Gunzenhausen;LK;2016;3339;3283;73,4;73;1;12
09661;Aschaffenburg;KfS;2016;5524;5439;65,1;64,6;8;6
09662;Schweinfurt;KfS;2016;8117;4762;81;67,7;3;8
09663;Würzburg;KfS;2016;11029;10686;69,3;68,3;10;21
09671;Aschaffenburg;LK;2016;4579;4518;66,7;66,2;7;12
09672;Bad Kissingen;LK;2016;3986;3974;69,5;69,5;0;17
09673;Rhön-Grabfeld;LK;2016;2707;2698;71,2;71,1;2;6
09674;Haßberge;LK;2016;2644;2642;68,2;68,1;1;5
09675;Kitzingen;LK;2016;3477;3449;63,8;63,5;4;25
09676;Miltenberg;LK;2016;4395;4356;73,7;73,5;2;17
09677;Main-Spessart;LK;2016;3699;3667;69,8;69,5;6;21
09678;Schweinfurt;LK;2016;2858;2843;64,2;64;0;15
09679;Würzburg;LK;2016;3591;3526;67,3;66,6;3;14
09761;Augsburg;KfS;2016;22876;21938;69,9;68,6;5;37
09762;Kaufbeuren;KfS;2016;2559;2534;68,7;68,4;3;7
09763;Kempten (Allgäu);KfS;2016;4699;4543;72,1;71,2;5;10
09764;Memmingen;KfS;2016;3032;2950;67,1;66,1;0;2
09771;Aichach-Friedberg;LK;2016;3431;3332;64,4;63,4;1;14
09772;Augsburg;LK;2016;7946;7580;68,8;67,3;2;24
09773;Dillingen a.d.Donau;LK;2016;2995;2962;70,4;70;2;19
09774;Günzburg;LK;2016;5316;5141;65,6;64,4;8;16
09775;Neu-Ulm;LK;2016;7734;7663;66,8;66,5;3;13
09776;Lindau (Bodensee);LK;2016;6302;3884;81;69,1;5;13
09777;Ostallgäu;LK;2016;4237;4006;71,2;69,6;3;17
09778;Unterallgäu;LK;2016;3977;3799;69,7;68,2;3;23
09779;Donau-Ries;LK;2016;5574;3891;77,5;67,8;2;15
09780;Oberallgäu;LK;2016;5199;5120;70,6;70,1;0;24
10041;Regionalverband Saarbrücken;RV;2016;32777;30159;59,1;55,6;6;108
10042;Merzig-Wadern;LK;2016;5307;5271;58,8;58,5;1;28
10043;Neunkirchen;LK;2016;8486;8465;58,5;58,4;2;34
10044;Saarlouis;LK;2016;16489;12327;67,3;56,3;1;72
10045;Saarpfalz-Kreis;LK;2016;7578;7493;54,9;54,4;3;30
10046;St. Wendel;LK;2016;3566;3562;55,6;55,5;0;26
11;Berlin;KfS;2016;568860;552645;42;40,5;92;1039
12051;Brandenburg an der Havel;KfS;2016;8752;8734;51;50,9;1;41
12052;Cottbus;KfS;2016;11282;11171;50,1;49,6;1;41
12053;Frankfurt (Oder);KfS;2016;6454;5475;61,3;54,5;1;15
12054;Potsdam;KfS;2016;16573;16492;51;50,8;5;58
12060;Barnim;LK;2016;12464;12423;53,2;53,1;5;94
12061;Dahme-Spreewald;LK;2016;14725;12288;57;48,5;1;60
12062;Elbe-Elster;LK;2016;6282;6274;52;52;0;55
12063;Havelland;LK;2016;10428;10412;50,6;50,5;0;61
12064;Märkisch-Oderland;LK;2016;13006;12922;54;53,7;4;117
