key;name;year;for_pop;for_anwerber;for_EU28;for_EUeast;for_notEU;for_syria;for_afghan;for_iraq;ss_total;ss_anwerber;ss_syria;ss_afghan;ss_iraq;ss_total_accept;ss_anwerber_accept;ss_syria_accept;ss_afghan_accept;ss_iraq_accept;ss_total_denied;ss_anwerber_denied;ss_syria_denied;ss_afghan_denied;ss_iraq_denied;ss_total_duldung;ss_anwerber_duldung;ss_syria_duldung;ss_afghan_duldung;ss_iraq_duldung
03453;Cloppenburg  ;2013;11290;2030;6900;5845;4395;230;50;415;1260;445;165;45;300;955;345;150;15;250;175;70;5;15;25;155;60;5;15;25
03454;Emsland  ;2013;22650;3840;16690;8900;5960;170;70;125;1840;835;120;55;100;1055;500;95;15;65;515;285;15;30;25;460;255;10;25;20
03455;Friesland  ;2013;2815;975;1230;505;1585;50;50;35;625;265;25;45;30;365;170;25;35;10;135;60;0;0;10;125;55;0;0;10
03456;Grafschaft Bentheim  ;2013;17305;3030;13555;2380;3745;100;50;85;715;285;60;40;60;390;165;55;20;30;200;105;0;10;20;180;100;0;10;20
03457;Leer  ;2013;8390;1420;5530;1605;2860;160;50;100;910;330;115;40;60;550;250;95;10;45;155;70;5;10;10;135;60;5;10;10
03458;Oldenburg  ;2013;7080;1120;4245;3345;2835;135;15;530;1065;260;95;10;375;885;200;80;5;325;85;40;5;0;20;75;35;0;0;20
03459;Osnabrück  ;2013;20550;8205;11480;6510;9070;270;50;125;1610;710;160;35;75;1050;430;140;35;55;360;190;5;0;15;295;140;5;0;15
03460;Vechta  ;2013;11805;4040;5905;4660;5900;370;30;230;1125;305;255;15;160;900;245;240;10;130;115;45;0;0;25;100;35;0;0;25
03461;Wesermarsch  ;2013;4945;1995;2070;1090;2875;50;20;65;565;240;20;15;55;385;175;20;10;40;100;40;0;0;10;85;30;0;0;10
03462;Wittmund  ;2013;1650;520;835;455;815;35;35;10;315;150;30;25;0;175;85;25;10;0;75;40;0;5;0;70;40;0;5;0
04;Bremen;2013;88755;41690;30165;17175;58585;1230;580;880;8235;3450;775;400;610;5860;2400;610;260;445;1300;775;20;10;50;1115;680;15;10;35
04011;Bremen, Stadt  ;2013;74905;34475;23915;13690;50990;1050;500;830;7150;2875;655;345;565;5195;2090;500;215;420;1045;575;15;10;45;890;505;10;10;35
04012;Bremerhaven, Stadt  ;2013;13850;7215;6255;3490;7595;185;80;50;1085;575;120;55;45;665;310;110;45;20;255;200;5;0;5;225;170;5;0;5
05;Nordrhein-Westfalen;2013;1963240;1087840;785645;332740;1177595;16575;9550;25765;167775;63595;9740;5640;16980;117065;44110;8090;3700;14440;27060;14345;405;360;1475;22345;11830;245;290;1345
051;"Regierungsbezirk  Düsseldorf ";2013;679780;368590;285965;119860;393815;3530;3675;8400;52865;19520;2010;2010;5330;38260;12640;1520;1395;4715;8895;5440;120;115;400;7450;4570;75;90;380
05111;Düsseldorf, Stadt  ;2013;127785;58260;54030;20010;73755;415;430;1230;8495;1635;205;245;760;6700;880;115;160;675;695;350;10;20;50;485;250;5;15;35
05112;Duisburg, Stadt  ;2013;86805;53930;30140;19700;56665;275;135;770;4525;1885;165;85;410;3365;1395;130;55;370;735;390;5;10;25;630;335;0;10;25
05113;Essen, Stadt  ;2013;69845;33045;21685;11395;48165;780;1225;2525;8795;2830;340;705;1715;6705;1615;260;615;1630;1670;1115;45;30;50;1445;980;40;10;50
05114;Krefeld, Stadt  ;2013;29070;16260;13580;6170;15490;105;115;220;1920;650;75;75;125;1190;270;40;40;75;480;320;5;0;45;455;305;5;0;45
05116;Mönchengladbach, Stadt  ;2013;31210;16040;12975;5760;18235;155;310;625;2660;790;100;145;470;2000;470;80;120;450;405;275;5;0;5;330;225;0;0;5
