key;wahlberechtigte;wähler_14;ungültige_14;gültige_14;cdu_14;spd_14;grüne_14;fdp_14;die linke_14;csu_14;freie wähler_14;rep_14;tierschutzpartei_14;familie_14;piraten_14;ödp_14;pbc_14;volksabstimmung_14;bp_14;cm_14;auf_14;dkp_14;büso_14;psg_14;afd_14;pro nrw_14;mlpd_14;npd_14;die partei_14
9463;32359;12559;33;12526;0;3496;1712;414;503;4351;181;33;134;36;147;218;31;25;45;8;8;6;3;1;995;0;3;87;89
9464;34221;11294;54;11240;0;2701;929;298;421;4676;244;48;119;39;170;108;112;16;60;24;31;8;4;0;1075;11;4;96;46
9471;115598;46669;190;46479;0;7739;3923;1043;1175;23289;1566;391;459;224;471;809;101;178;740;66;153;5;14;10;3186;11;23;736;167
9472;85177;34697;120;34577;0;7676;2741;819;746;15370;2305;264;347;150;280;393;99;76;294;46;96;8;3;4;2556;10;4;194;96
9473;70794;28104;100;28004;0;7788;2183;567;729;11785;1107;86;249;119;217;396;45;55;161;21;35;4;5;6;2053;6;26;252;109
9474;89698;39835;130;39705;0;7920;4579;1076;1117;16624;2481;371;417;119;378;574;83;102;262;38;98;20;9;8;2874;10;12;371;162
9475;79214;32049;132;31917;0;8325;1881;551;848;14386;1275;180;327;118;309;343;194;65;185;52;127;9;3;8;2381;14;11;217;108
9476;56593;21125;145;20980;0;5317;1071;379;437;10360;849;92;175;63;150;181;53;48;108;37;40;7;5;4;1286;5;11;246;56
9477;60402;23288;87;23201;0;5653;1661;572;637;10167;1128;101;222;82;212;295;47;62;101;35;43;8;3;6;1915;4;10;150;87
9478;54645;21779;83;21696;0;3846;1322;377;403;11513;1062;83;205;66;230;387;57;52;136;19;35;2;7;6;1525;3;2;277;81
9479;60370;22246;126;22120;0;6240;1381;409;601;9400;806;101;286;78;191;205;68;69;196;18;35;9;3;5;1652;8;6;258;95
9561;31263;11331;46;11285;0;3040;1529;247;512;3451;360;47;123;34;122;572;48;41;72;13;24;12;2;1;882;4;1;86;62
9562;77383;37320;88;37232;0;10476;7021;1534;1753;9752;923;54;312;110;828;1154;62;64;109;31;73;17;16;9;2473;9;23;131;298
9563;86007;31368;145;31223;0;9179;4957;945;2228;8124;576;136;338;96;656;473;57;70;170;22;94;31;4;9;2542;5;16;220;275
9564;349601;143804;811;142993;0;42711;20688;4300;8180;39577;2700;558;1675;467;2719;3016;224;327;609;87;256;166;27;45;12070;63;111;1311;1106
9565;30006;12459;52;12407;0;3003;1923;367;550;4279;330;40;133;47;137;254;29;22;79;13;18;6;0;0;1028;4;3;86;56
9571;139801;55113;194;54919;0;11590;6081;1302;1550;22036;3242;212;503;248;540;1779;259;161;435;104;145;28;5;7;3988;23;11;495;175
9572;102993;48417;154;48263;0;12111;6879;1535;1307;17124;2448;110;436;143;586;714;111;96;308;29;76;8;8;9;3671;12;16;276;250
9573;90790;40010;140;39870;0;11080;4815;939;1371;13555;1594;153;452;144;531;611;105;104;238;37;97;17;7;10;3442;17;10;326;215
9574;129375;57895;233;57662;0;15411;7502;1507;1881;19597;3169;329;632;165;679;1111;116;128;313;54;174;21;12;8;4275;18;8;315;237
9575;77421;33005;141;32864;0;7038;3384;752;853;13807;1937;116;317;188;341;1035;91;69;228;51;80;10;4;10;2111;4;16;296;126
9576;97193;41456;167;41289;0;9122;5087;902;1317;16273;2517;147;484;153;438;743;78;118;274;43;91;12;7;17;2999;11;10;284;162
9577;72500;29964;138;29826;0;6545;3303;573;751;12559;1178;100;259;90;304;1248;89;52;227;52;92;6;12;7;2058;11;9;170;131
9661;49917;17112;123;16989;0;3939;2560;680;688;5822;264;83;185;45;279;448;15;33;104;21;32;9;4;7;1443;7;30;165;126
9662;38947;13598;91;13507;0;3717;1208;465;864;5025;254;146;108;23;169;190;24;24;52;14;35;8;2;4;989;9;22;88;67
9663;99770;41643;133;41510;0;9510;8235;1795;1765;12881;722;213;413;92;1029;989;44;43;115;40;92;30;9;9;2895;15;6;122;446
9671;134223;53199;349;52850;0;11845;5557;1640;1387;22104;1773;351;570;239;617;789;42;167;362;90;102;20;20;16;4404;21;29;442;263
9672;84410;35211;177;35034;0;6518;2748;915;1016;17523;1165;276;300;134;364;753;67;116;224;52;128;15;9;8;2347;14;10;227;105
